# Simulation 1 (Up to date)
# 738 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.001,0.211,21.142,0.211,21.142,0,0,0,0,0,0,28.61,-80.6,9.792,82.64,0,0,0,1974.777,799.817,0.195,0.002,NaN,892.486,NaN,0.005,1.37e5,61.089,2.459e-5,0.778,0.004,0.561,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.706e-5,70,38.485,90,0,1.636,15,1013.25,340.389,0.01,5.268e-4
0.02,0.007,1.042,83.067,1.042,83.067,0,0,0,0,0,0,28.61,-80.6,9.792,57.311,0,0,0,1973.57,798.61,0.195,0.002,NaN,892.35,NaN,0.006,1.602e5,183.266,0.002,0.757,0.235,0.54,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.334e-4,70,38.485,90,0,1.623,15,1013.249,340.389,0.01,6.594e-4
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.025,2.492,145.062,2.492,145.062,0,0,0,0,0,0,28.61,-80.6,9.792,32.877,0,0,0,1972.363,797.403,0.195,0.002,NaN,892.215,NaN,0.009,2.464e5,305.443,0.015,0.705,0.725,0.488,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.191e-4,70,38.485,90,0,1.611,15,1013.247,340.389,0.01,7.554e-4
0.04,0.06,4.563,207.123,4.563,207.123,0,0,0,0,0,0,28.61,-80.6,9.792,19.302,0,0,0,1971.156,796.196,0.195,0.002,NaN,892.079,NaN,0.014,4.015e5,427.621,0.047,0.654,0.845,0.437,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.842e-4,70,38.485,90,0,1.598,15,1013.243,340.389,0.01,8.683e-4
0.05,0.118,7.006,244.485,7.006,244.485,0,0,0,0,0,0,28.61,-80.6,9.792,12.75,0,0,0,1968.845,793.885,0.195,0.002,NaN,891.819,NaN,0.021,5.966e5,500.726,0.094,0.619,0.775,0.402,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97e-4,70,38.485,90,0,1.585,14.999,1013.236,340.388,0.01,9.688e-4
0.06,0.2,9.46,245.593,9.46,245.593,0,0,0,0,0,0,28.61,-80.6,9.792,9.401,0,0,0,1966.41,791.45,0.195,0.002,NaN,891.545,NaN,0.028,7.964e5,502.343,0.151,0.595,0.699,0.379,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,70,38.485,90,0,1.566,14.999,1013.226,340.388,0.01,0.001
0.07,0.307,11.923,246.389,11.923,246.389,0,0,0,0,0,0,28.61,-80.6,9.792,7.395,0,0,0,1963.976,789.016,0.195,0.002,NaN,891.269,NaN,0.035,9.986e5,503.354,0.221,0.579,0.649,0.362,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,70,38.485,90,0,1.548,14.998,1013.214,340.388,0.01,0.001
0.078,0.416,13.994,247.094,13.994,247.094,0,0,0,0,0,0,28.61,-80.6,9.792,6.246,0,0,0,1961.934,786.974,0.195,0.002,NaN,891.038,NaN,0.041,1.169e6,504.284,0.29,0.568,0.62,0.351,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,70,38.485,90,0,1.532,14.997,1013.201,340.387,0.008,0.001
0.086,0.522,15.764,247.69,15.764,247.69,0,0,0,0,0,0,28.61,-80.6,9.792,5.501,0,0,0,1960.195,785.235,0.195,0.002,NaN,890.841,NaN,0.047,1.315e6,505.07,0.355,0.56,0.601,0.343,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,70,38.485,90,0,1.518,14.997,1013.189,340.387,0.007,0.001
0.092,0.627,17.338,248.208,17.338,248.208,0,0,0,0,0,0,28.61,-80.6,9.792,4.965,0,0,0,1958.651,783.691,0.195,0.002,NaN,890.665,NaN,0.051,1.445e6,505.752,0.42,0.554,0.588,0.337,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,70,38.485,90,0,1.506,14.996,1013.176,340.386,0.006,0.001
0.098,0.731,18.772,248.674,18.772,248.674,0,0,0,0,0,0,28.61,-80.6,9.792,4.555,0,0,0,1957.246,782.287,0.195,0.002,NaN,890.505,NaN,0.055,1.564e6,506.364,0.483,0.549,0.578,0.332,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,70,38.485,90,0,1.495,14.995,1013.164,340.386,0.006,0.002
0.103,0.835,20.098,249.1,20.098,249.1,0,0,0,0,0,0,28.61,-80.6,9.792,4.265,0,0,0,1955.95,780.99,0.194,0.002,NaN,890.357,NaN,0.059,1.674e6,506.926,0.546,0.545,0.57,0.327,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,70,38.485,90,0,1.499,14.995,1013.152,340.386,0.005,0.002
0.108,0.938,21.339,249.495,21.339,249.495,0,0,0,0,0,0,28.61,-80.6,9.792,4.052,0,0,0,1954.738,779.778,0.194,0.002,NaN,890.219,NaN,0.063,1.777e6,507.447,0.609,0.541,0.564,0.324,0.097,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,70,38.485,90,0,1.512,14.994,1013.14,340.385,0.005,0.002
# Event LAUNCHROD occurred at t=0.113 seconds
0.113,1.041,22.51,249.864,22.51,249.864,0,0,0,0,0,0,28.61,-80.6,9.792,3.873,0,0,0,1953.598,778.638,0.194,0.002,NaN,890.088,NaN,0.066,1.874e6,507.935,0.671,0.538,0.559,0.32,0.097,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,70,38.485,90,0,1.524,14.993,1013.128,340.385,0.005,0.002
